customer_id,customer_name,region,credit_terms
1,Karan Industries,East,30
2,Kunal Exports,South,60
3,Karan Retail,North,30
4,Deepak Textiles,East,30
5,Arjun Exports,South,30
6,Sneha Exports,East,45
7,Amit Group,North,30
8,Priya Exports,West,45
9,Pooja Group,East,60
10,Priya Enterprises,North,30
11,Rahul Retail,South,60
12,Pooja Logistics,East,30
13,Manish Retail,East,30
14,Ritu Traders,South,30
15,Pooja Textiles,West,45
16,Kavita Logistics,South,30
17,Amit Enterprises,East,30
18,Deepak Textiles,South,30
19,Rohan Textiles,North,30
20,Swati Industries,South,30
21,Meera Corp,East,45
22,Rohan Retail,South,45
23,Priya Industries,West,30
24,Kunal Textiles,South,60
25,Pooja Exports,West,30
26,Kunal Traders,North,60
27,Meera Ltd,West,30
28,Sneha Corp,South,30
29,Divya Industries,East,30
30,Priya Group,West,45
31,Neha Industries,North,30
32,Swati Retail,West,30
33,Pooja Corp,West,30
34,Neha Industries,West,30
35,Meera Exports,North,30
36,Meera Textiles,South,45
37,Divya Enterprises,West,45
38,Ritu Corp,West,30
39,Kunal Enterprises,East,45
40,Sanjay Logistics,North,30
41,Kunal Ltd,West,45
42,Karan Logistics,North,45
43,Rahul Exports,West,30
44,Arjun Traders,South,45
45,Manish Exports,South,30
46,Amit Traders,West,30
47,Rahul Enterprises,South,45
48,Neha Textiles,West,30
49,Rohan Textiles,South,30
50,Rohan Exports,East,30
51,Pooja Corp,East,45
52,Rahul Textiles,East,30
53,Vikram Traders,North,30
54,Pooja Exports,North,45
55,Amit Ltd,East,45
56,Amit Enterprises,North,30
57,Kunal Traders,South,30
58,Rahul Enterprises,West,30
59,Meera Textiles,West,30
60,Rohan Retail,West,30
61,Neha Traders,East,45
62,Karan Ltd,North,30
63,Kavita Industries,South,30
64,Vikram Textiles,South,30
65,Karan Industries,East,45
66,Sanjay Textiles,South,30
67,Deepak Group,South,60
68,Priya Retail,South,30
69,Sanjay Logistics,South,30
70,Anita Industries,North,30
71,Arjun Retail,South,30
72,Karan Ltd,West,30
73,Rahul Logistics,East,30
74,Kavita Logistics,North,30
75,Amit Textiles,South,45
76,Anita Exports,North,30
77,Rohan Enterprises,South,45
78,Rahul Traders,West,30
79,Neha Exports,East,30
80,Kunal Group,South,30
81,Rohan Industries,South,30
82,Manish Ltd,South,30
83,Kavita Textiles,South,30
84,Priya Traders,East,30
85,Manish Enterprises,East,30
86,Manish Exports,West,30
87,Manish Ltd,East,60
88,Priya Corp,South,45
89,Vikram Ltd,West,45
90,Rahul Traders,West,45
91,Priya Enterprises,West,30
92,Pooja Retail,South,30
93,Anita Textiles,North,60
94,Sneha Textiles,South,30
95,Arjun Exports,East,30
96,Manish Group,East,30
97,Vikram Industries,South,30
98,Priya Group,South,30
99,Arjun Ltd,West,45
100,Rohan Group,South,30
101,Ritu Traders,West,30
102,Kavita Industries,East,60
103,Deepak Retail,West,30
104,Amit Traders,South,30
105,Kavita Textiles,East,30
106,Kavita Logistics,North,45
107,Rahul Exports,West,60
108,Karan Corp,East,30
109,Divya Ltd,West,45
110,Arjun Logistics,East,30
111,Swati Textiles,East,60
112,Neha Traders,West,45
113,Karan Retail,North,45
114,Ritu Logistics,East,30
115,Kavita Ltd,East,60
116,Priya Ltd,East,45
117,Ritu Enterprises,North,30
118,Vikram Textiles,North,45
119,Rohan Logistics,South,30
120,Amit Traders,West,45
121,Ritu Traders,North,30
122,Kavita Exports,West,45
123,Rahul Exports,South,30
124,Kavita Ltd,West,30
125,Divya Industries,North,30
126,Anita Exports,West,30
127,Kavita Traders,North,30
128,Ritu Logistics,West,30
129,Amit Logistics,North,30
130,Swati Corp,North,30
131,Priya Group,West,30
132,Amit Logistics,South,45
133,Sneha Ltd,East,30
134,Sneha Ltd,South,60
135,Meera Enterprises,West,45
136,Ritu Industries,South,30
137,Divya Textiles,North,30
138,Amit Ltd,East,45
139,Rahul Traders,West,30
140,Meera Group,West,30
141,Anita Traders,West,30
142,Divya Corp,East,45
143,Rahul Ltd,North,30
144,Vikram Traders,West,30
145,Sneha Traders,South,60
146,Manish Ltd,West,45
147,Pooja Enterprises,West,30
148,Anita Traders,West,30
149,Rohan Enterprises,West,45
150,Manish Enterprises,North,30
151,Amit Ltd,South,30
152,Kavita Enterprises,North,30
153,Rahul Traders,South,60
154,Swati Logistics,West,30
