movement_id,product_id,movement_date,movement_type,quantity,unit_cost
1,P1000,2026-06-06,RECEIPT,54,136.85
2,P1008,2026-03-13,ISSUE,79,241.17
3,P1081,2026-03-11,RECEIPT,83,323.19
4,P1078,2026-02-01,RECEIPT,57,489.23
5,P1056,2026-06-05,RECEIPT,96,334.84
6,P1013,2026-05-22,ISSUE,54,360.62
7,P1014,2025-12-16,ISSUE,76,452.45
8,P1061,2026-03-26,RECEIPT,33,469.05
9,P1125,2026-07-01,ISSUE,103,240.76
10,P1103,2025-11-22,ISSUE,97,290.94
11,P1072,2026-01-05,ISSUE,13,69.66
12,P1074,2026-02-19,RECEIPT,72,111.17
13,P1031,2025-09-06,ISSUE,143,283.46
14,P1102,2026-06-25,RECEIPT,120,172.98
15,P1189,2026-04-07,RECEIPT,92,385.52
16,P1198,2025-12-21,RECEIPT,79,231.14
17,P1149,2026-08-31,RECEIPT,116,282.64
18,P1144,2025-11-08,ISSUE,135,150.01
19,P1113,2026-04-18,RECEIPT,62,45.1
20,P1155,2026-03-31,RECEIPT,122,337.37
21,P1053,2026-08-16,ISSUE,130,348.12
22,P1024,2026-03-26,ISSUE,23,62.99
23,P1121,2026-03-01,ISSUE,40,320.62
24,P1082,2026-06-28,RECEIPT,52,35.88
25,P1134,2026-02-07,ISSUE,138,249.28
26,P1173,2026-08-12,ISSUE,51,94.27
27,P1143,2026-08-13,ISSUE,135,261.16
28,P1021,2026-08-21,RECEIPT,115,364.39
29,P1105,2026-01-23,ISSUE,66,473.95
30,P1139,2025-10-28,RECEIPT,104,278.97
31,P1051,2025-10-24,ISSUE,81,160.92
32,P1016,2025-09-30,RECEIPT,131,60.67
33,P1028,2026-02-22,ISSUE,147,420.17
34,P1134,2026-07-30,ISSUE,84,249.28
35,P1143,2026-08-24,RECEIPT,92,261.16
36,P1151,2026-01-10,RECEIPT,63,87.35
37,P1185,2025-10-01,ISSUE,92,111.5
38,P1004,2026-08-15,RECEIPT,81,481.29
39,P1135,2025-09-30,ISSUE,22,342.78
40,P1036,2025-11-02,ISSUE,41,69.34
41,P1055,2026-08-07,RECEIPT,43,415.33
42,P1130,2026-02-21,RECEIPT,94,172.57
43,P1007,2025-09-22,ISSUE,42,182.23
44,P1134,2026-02-10,RECEIPT,141,249.28
45,P1094,2026-06-04,ISSUE,132,113.95
46,P1002,2026-08-30,RECEIPT,80,227.87
47,P1169,2025-12-11,RECEIPT,132,167.84
48,P1039,2025-12-23,RECEIPT,75,183.94
49,P1075,2026-01-07,RECEIPT,124,292.75
50,P1147,2025-09-24,RECEIPT,12,175.87
51,P1053,2025-11-22,ISSUE,49,348.12
52,P1183,2026-01-15,ISSUE,31,76.5
53,P1150,2026-07-31,RECEIPT,121,424.36
54,P1037,2025-12-25,RECEIPT,88,142.11
55,P1006,2026-06-19,RECEIPT,13,241.77
56,P1036,2026-08-23,RECEIPT,29,69.34
57,P1048,2026-03-04,ISSUE,36,345.05
58,P1058,2026-03-12,ISSUE,60,443.58
59,P1194,2026-03-18,RECEIPT,85,348.44
60,P1029,2026-03-25,ISSUE,20,298.76
61,P1004,2026-05-20,ISSUE,98,481.29
62,P1177,2025-10-30,ISSUE,8,106.85
63,P1140,2026-01-22,RECEIPT,36,315.91
64,P1000,2025-12-09,ISSUE,93,136.85
65,P1061,2026-06-21,ISSUE,87,469.05
66,P1009,2026-08-30,RECEIPT,67,183.9
67,P1171,2026-01-07,RECEIPT,118,106.96
68,P1095,2026-04-08,RECEIPT,34,203.91
69,P1025,2026-01-13,RECEIPT,68,292.72
70,P1098,2025-12-02,ISSUE,90,282.91
71,P1062,2025-10-14,ISSUE,82,498.0
72,P1154,2025-09-03,ISSUE,140,437.38
73,P1036,2025-09-02,ISSUE,127,69.34
74,P1079,2025-09-15,ISSUE,129,165.08
75,P1109,2026-06-17,RECEIPT,71,353.84
76,P1183,2026-04-13,ISSUE,85,76.5
77,P1191,2026-06-18,ISSUE,29,89.49
78,P1191,2026-08-06,RECEIPT,13,89.49
79,P1116,2025-12-30,ISSUE,21,52.28
80,P1018,2025-12-20,RECEIPT,75,389.28
81,P1023,2026-01-04,RECEIPT,129,271.43
82,P1025,2026-03-22,ISSUE,146,292.72
83,P1129,2026-08-04,ISSUE,141,127.8
84,P1140,2026-04-18,ISSUE,32,315.91
85,P1135,2026-06-27,ISSUE,89,342.78
86,P1028,2025-09-28,RECEIPT,134,420.17
87,P1012,2026-05-20,RECEIPT,22,154.38
88,P1073,2025-10-14,ISSUE,109,439.74
89,P1196,2025-09-18,ISSUE,51,317.86
90,P1156,2025-09-03,ISSUE,134,89.69
91,P1015,2025-09-18,ISSUE,108,346.46
92,P1172,2026-07-23,ISSUE,40,35.94
93,P1179,2026-06-16,RECEIPT,144,175.99
94,P1102,2026-02-19,RECEIPT,90,172.98
95,P1165,2025-09-09,ISSUE,121,180.53
96,P1178,2025-11-18,ISSUE,36,276.28
97,P1022,2026-04-03,ISSUE,67,132.6
98,P1158,2026-01-16,RECEIPT,10,37.36
99,P1171,2026-05-22,ISSUE,42,106.96
100,P1097,2026-05-07,ISSUE,48,438.28
101,P1174,2026-08-27,RECEIPT,64,26.27
102,P1057,2026-01-02,ISSUE,40,373.34
103,P1143,2025-10-29,RECEIPT,97,261.16
104,P1047,2026-08-16,ISSUE,120,285.65
105,P1186,2026-02-27,ISSUE,69,435.74
106,P1095,2026-01-19,RECEIPT,80,203.91
107,P1039,2026-04-26,ISSUE,116,183.94
108,P1071,2026-02-05,RECEIPT,108,395.38
109,P1005,2025-10-28,ISSUE,48,308.82
110,P1152,2025-10-13,ISSUE,54,320.46
111,P1035,2026-02-23,RECEIPT,61,181.19
112,P1173,2026-01-03,ISSUE,45,94.27
113,P1080,2026-06-27,ISSUE,135,362.77
114,P1160,2026-03-23,RECEIPT,69,218.14
115,P1080,2025-12-30,RECEIPT,21,362.77
116,P1195,2026-07-05,ISSUE,61,381.1
117,P1029,2026-08-13,RECEIPT,84,298.76
118,P1122,2026-02-24,RECEIPT,113,397.28
119,P1064,2026-02-27,ISSUE,13,375.68
120,P1021,2026-08-26,ISSUE,75,364.39
121,P1026,2026-04-18,ISSUE,149,30.31
122,P1194,2026-03-15,RECEIPT,135,348.44
123,P1009,2025-09-09,ISSUE,33,183.9
124,P1162,2026-06-30,ISSUE,66,26.46
125,P1029,2026-05-22,RECEIPT,32,298.76
126,P1080,2026-02-24,ISSUE,118,362.77
127,P1181,2026-02-06,ISSUE,94,81.24
128,P1122,2026-01-10,ISSUE,133,397.28
129,P1009,2025-10-20,RECEIPT,148,183.9
130,P1089,2025-09-13,ISSUE,10,116.42
131,P1120,2026-04-16,RECEIPT,104,402.41
132,P1029,2026-06-10,ISSUE,13,298.76
133,P1048,2025-11-28,ISSUE,59,345.05
134,P1137,2025-09-03,ISSUE,80,466.13
135,P1150,2025-09-22,RECEIPT,43,424.36
136,P1034,2026-02-15,ISSUE,34,162.46
137,P1075,2025-09-23,ISSUE,95,292.75
138,P1061,2025-11-02,RECEIPT,6,469.05
139,P1073,2026-08-30,RECEIPT,57,439.74
140,P1102,2026-08-16,RECEIPT,11,172.98
141,P1029,2026-05-29,ISSUE,5,298.76
142,P1015,2026-07-02,ISSUE,82,346.46
143,P1087,2026-04-19,RECEIPT,98,140.16
144,P1019,2026-04-24,RECEIPT,109,135.07
145,P1023,2026-07-26,RECEIPT,67,271.43
146,P1067,2026-02-15,ISSUE,139,344.06
147,P1028,2026-07-07,ISSUE,134,420.17
148,P1018,2026-01-08,ISSUE,113,389.28
149,P1063,2026-04-21,ISSUE,10,124.62
150,P1185,2026-05-19,ISSUE,6,111.5
151,P1151,2025-10-08,RECEIPT,95,87.35
152,P1094,2026-03-08,ISSUE,97,113.95
153,P1164,2026-02-07,ISSUE,149,429.12
154,P1134,2026-03-21,RECEIPT,81,249.28
155,P1181,2026-05-17,ISSUE,15,81.24
156,P1087,2026-02-09,ISSUE,51,140.16
157,P1084,2025-10-03,ISSUE,28,166.13
158,P1173,2026-05-25,RECEIPT,52,94.27
159,P1185,2026-01-31,RECEIPT,118,111.5
160,P1097,2025-09-10,RECEIPT,98,438.28
161,P1012,2026-02-22,ISSUE,59,154.38
162,P1188,2025-12-06,RECEIPT,114,205.8
163,P1071,2026-02-27,ISSUE,145,395.38
164,P1070,2025-12-15,RECEIPT,50,266.27
165,P1088,2025-09-22,ISSUE,65,317.63
166,P1188,2026-01-09,RECEIPT,123,205.8
167,P1193,2026-06-30,RECEIPT,112,282.24
168,P1012,2026-01-18,ISSUE,130,154.38
169,P1160,2025-09-04,ISSUE,142,218.14
170,P1012,2026-02-19,RECEIPT,14,154.38
171,P1122,2026-02-19,RECEIPT,124,397.28
172,P1057,2026-07-24,ISSUE,22,373.34
173,P1076,2026-01-18,ISSUE,22,312.65
174,P1162,2026-05-14,ISSUE,19,26.46
175,P1108,2026-08-17,ISSUE,143,191.84
176,P1081,2026-03-22,ISSUE,109,323.19
177,P1114,2026-08-13,RECEIPT,103,75.45
178,P1158,2026-01-17,RECEIPT,26,37.36
179,P1019,2025-12-08,ISSUE,91,135.07
180,P1129,2025-12-27,RECEIPT,107,127.8
181,P1171,2026-02-04,ISSUE,55,106.96
182,P1104,2026-05-16,ISSUE,74,408.18
183,P1143,2025-10-07,ISSUE,85,261.16
184,P1106,2026-03-14,ISSUE,33,408.61
185,P1005,2025-11-07,RECEIPT,5,308.82
186,P1017,2026-02-03,RECEIPT,119,451.51
187,P1041,2026-03-13,ISSUE,17,254.37
188,P1174,2025-12-20,RECEIPT,22,26.27
189,P1002,2025-10-13,RECEIPT,100,227.87
190,P1062,2026-01-07,RECEIPT,95,498.0
191,P1066,2026-04-15,ISSUE,127,33.19
192,P1000,2025-10-09,ISSUE,111,136.85
193,P1014,2026-02-09,ISSUE,63,452.45
194,P1199,2026-01-21,RECEIPT,55,289.09
195,P1053,2025-09-14,ISSUE,146,348.12
196,P1012,2025-10-09,ISSUE,133,154.38
197,P1107,2026-03-28,ISSUE,97,417.58
198,P1110,2026-01-26,ISSUE,43,206.28
199,P1011,2025-12-31,ISSUE,109,142.8
200,P1082,2025-12-31,ISSUE,26,35.88
201,P1193,2026-02-15,ISSUE,40,282.24
202,P1146,2026-01-19,ISSUE,89,421.56
203,P1105,2026-06-16,RECEIPT,129,473.95
204,P1198,2026-06-02,ISSUE,99,231.14
205,P1034,2026-06-08,RECEIPT,134,162.46
206,P1096,2026-05-01,ISSUE,138,285.94
207,P1002,2026-07-13,RECEIPT,50,227.87
208,P1040,2025-11-02,RECEIPT,36,257.88
209,P1116,2026-03-15,ISSUE,33,52.28
210,P1139,2025-09-15,ISSUE,147,278.97
211,P1014,2026-03-23,ISSUE,116,452.45
212,P1090,2026-07-30,ISSUE,54,243.92
213,P1182,2025-10-28,ISSUE,47,316.7
214,P1121,2026-01-18,ISSUE,118,320.62
215,P1112,2025-11-02,RECEIPT,99,444.58
216,P1130,2025-12-29,ISSUE,73,172.57
217,P1022,2026-02-06,ISSUE,72,132.6
218,P1051,2025-09-03,ISSUE,132,160.92
219,P1017,2025-12-12,ISSUE,111,451.51
220,P1018,2026-05-15,RECEIPT,75,389.28
221,P1075,2026-02-23,ISSUE,39,292.75
222,P1072,2026-06-30,RECEIPT,29,69.66
223,P1023,2025-09-05,ISSUE,39,271.43
224,P1135,2026-06-01,ISSUE,30,342.78
225,P1121,2026-03-09,RECEIPT,30,320.62
226,P1094,2026-08-08,RECEIPT,89,113.95
227,P1162,2025-10-17,RECEIPT,95,26.46
228,P1188,2026-08-21,ISSUE,53,205.8
229,P1007,2026-05-20,ISSUE,149,182.23
230,P1055,2026-02-23,ISSUE,56,415.33
231,P1069,2026-07-03,ISSUE,42,436.57
232,P1087,2026-02-19,ISSUE,122,140.16
233,P1036,2026-08-08,RECEIPT,94,69.34
234,P1010,2026-02-14,RECEIPT,8,431.29
235,P1021,2025-11-30,RECEIPT,26,364.39
236,P1159,2026-05-14,RECEIPT,51,389.87
237,P1009,2025-09-01,RECEIPT,105,183.9
238,P1160,2026-06-02,RECEIPT,120,218.14
239,P1056,2026-04-01,RECEIPT,40,334.84
240,P1133,2026-03-26,RECEIPT,132,447.19
241,P1118,2026-07-12,ISSUE,14,345.11
242,P1116,2026-07-03,ISSUE,75,52.28
243,P1029,2026-01-19,ISSUE,113,298.76
244,P1034,2025-10-24,RECEIPT,61,162.46
245,P1122,2026-02-07,RECEIPT,88,397.28
246,P1036,2026-02-22,RECEIPT,134,69.34
247,P1197,2026-08-04,ISSUE,148,395.9
248,P1081,2026-01-27,RECEIPT,47,323.19
