payment_id,invoice_id,payment_date,amount_paid,method
1,1001,2026-07-29,5196.75,NEFT
2,1002,2025-12-01,4212.84,Card
3,1003,2026-01-07,3320.98,UPI
4,1005,2026-02-11,7584.02,UPI
5,1006,2026-04-04,743.11,Card
6,1006,2026-03-25,976.69,NEFT
7,1008,2026-01-19,8912.24,UPI
8,1009,2026-02-14,2985.77,Card
9,1010,2026-06-13,1586.43,Card
10,1010,2026-07-03,1014.34,UPI
11,1011,2026-09-29,5849.95,UPI
12,1013,2026-06-07,3449.56,Cheque
13,1014,2026-06-02,20559.99,NEFT
14,1015,2026-05-15,1933.16,UPI
15,1016,2025-10-30,1817.46,Card
16,1018,2025-11-16,11329.6,Card
17,1019,2025-11-10,2078.24,UPI
18,1020,2026-05-13,5123.26,UPI
19,1021,2026-03-11,1017.84,Cheque
20,1021,2026-02-19,1467.12,Cheque
21,1022,2026-03-05,4607.79,Card
22,1023,2026-01-29,6605.0,UPI
23,1024,2026-02-04,1677.0,Cheque
24,1025,2025-11-01,3472.51,Card
25,1026,2026-07-21,2917.03,UPI
26,1027,2025-09-24,2309.76,NEFT
27,1028,2026-09-08,3702.12,UPI
28,1029,2026-05-08,3035.57,UPI
29,1030,2026-09-03,6559.82,NEFT
30,1030,2026-09-01,3492.75,Card
31,1033,2026-01-24,4878.36,UPI
32,1033,2026-01-29,2095.02,Cheque
33,1036,2026-02-24,4578.58,Cheque
34,1037,2026-01-06,4071.66,UPI
35,1038,2026-05-12,4138.54,NEFT
36,1039,2025-12-23,11507.16,Card
37,1040,2025-12-28,5437.04,NEFT
38,1042,2026-05-31,3113.35,NEFT
39,1043,2026-09-24,7224.67,UPI
40,1044,2026-05-10,23536.43,Card
41,1045,2026-05-28,7619.47,UPI
42,1046,2025-11-17,12083.61,UPI
43,1047,2026-07-12,2064.86,NEFT
44,1047,2026-06-20,1894.96,Card
45,1048,2026-07-13,9278.38,Card
46,1048,2026-06-25,1194.98,Card
47,1049,2026-01-23,11231.17,Cheque
48,1050,2026-01-30,2929.75,NEFT
49,1050,2026-02-20,3155.07,UPI
50,1051,2026-05-07,4709.76,Cheque
51,1052,2025-11-01,1511.9,NEFT
52,1053,2026-03-16,4872.13,UPI
53,1055,2026-08-12,2710.8,Card
54,1056,2026-09-01,1810.08,UPI
55,1057,2025-10-27,5424.9,UPI
56,1058,2025-11-25,6013.28,NEFT
57,1060,2025-12-09,5165.78,NEFT
58,1061,2025-10-26,6305.23,NEFT
59,1062,2026-09-23,12021.05,Card
60,1062,2026-08-27,2368.19,NEFT
61,1063,2026-09-24,3415.15,Card
62,1065,2026-01-27,5220.25,NEFT
63,1066,2026-02-10,1911.49,Cheque
64,1067,2025-11-24,3839.3,Card
65,1068,2026-05-29,962.99,Cheque
66,1069,2026-07-05,4373.87,Cheque
67,1070,2026-02-11,7273.31,Cheque
68,1071,2026-07-27,6196.53,UPI
69,1072,2026-10-09,2024.53,UPI
70,1074,2025-11-16,6993.28,Cheque
71,1075,2026-12-18,8370.53,NEFT
72,1076,2026-06-14,3381.41,Cheque
73,1077,2026-09-06,656.59,NEFT
74,1079,2025-12-07,11006.41,Cheque
75,1080,2025-10-15,2769.35,UPI
76,1081,2026-05-26,3787.3,NEFT
77,1082,2025-11-18,4739.18,Card
78,1083,2025-09-11,3913.46,Card
79,1084,2025-11-15,15292.71,Cheque
80,1086,2025-10-24,2511.59,UPI
81,1088,2026-05-30,4025.8,NEFT
82,1089,2026-02-13,2110.07,Cheque
83,1090,2026-06-06,7292.87,NEFT
84,1091,2026-04-17,3951.03,Card
85,1093,2026-06-24,2745.24,UPI
86,1094,2026-09-02,4405.97,NEFT
87,1095,2025-12-23,1296.29,Cheque
88,1096,2026-08-31,1551.51,Card
89,1096,2026-08-28,591.0,Card
90,1097,2026-04-19,22236.04,UPI
91,1098,2025-11-19,5336.05,NEFT
92,1099,2026-07-08,14684.23,NEFT
93,1100,2025-11-29,6401.24,Card
94,1101,2026-04-21,13452.25,Card
95,1104,2026-01-17,8124.61,Card
96,1105,2026-06-07,2333.14,Card
97,1106,2026-01-10,10516.37,UPI
98,1107,2026-03-24,4814.32,NEFT
99,1107,2026-04-08,1137.02,Card
100,1108,2026-01-13,5075.66,Cheque
101,1109,2026-07-30,3520.54,Cheque
102,1110,2026-09-03,5685.37,UPI
103,1110,2026-08-09,3785.23,Cheque
104,1111,2026-07-01,3119.23,Cheque
105,1111,2026-07-01,1288.31,NEFT
106,1113,2026-06-13,1268.76,Card
107,1114,2026-02-15,1811.26,NEFT
108,1115,2026-01-09,9363.15,UPI
109,1116,2026-02-10,9950.66,Card
110,1117,2026-07-05,6484.64,UPI
111,1118,2026-08-03,6429.94,UPI
112,1119,2025-12-06,15900.42,UPI
113,1120,2025-09-14,6577.91,UPI
114,1121,2026-08-07,8330.52,Cheque
115,1122,2026-04-01,4679.83,Card
116,1123,2026-04-28,2945.21,Cheque
117,1124,2026-05-12,3995.82,Cheque
118,1125,2026-08-26,25791.71,Cheque
119,1127,2025-09-25,6429.44,NEFT
120,1128,2025-10-13,1487.54,NEFT
121,1130,2026-03-02,9285.92,NEFT
122,1131,2026-01-15,1175.24,NEFT
123,1132,2026-09-22,10311.19,Cheque
124,1135,2025-10-12,13721.57,NEFT
125,1136,2025-12-23,6097.44,UPI
126,1137,2026-05-23,8831.36,NEFT
127,1138,2026-02-04,7188.27,Card
128,1141,2026-01-27,12866.2,Cheque
129,1142,2026-06-12,3932.7,Card
130,1142,2026-06-23,901.26,Cheque
131,1143,2026-08-03,4463.89,UPI
132,1144,2026-02-12,2202.15,UPI
133,1144,2025-12-15,2188.37,Card
134,1146,2026-01-19,1936.77,Card
135,1147,2026-07-31,4322.02,UPI
136,1148,2026-01-15,3297.3,Card
137,1148,2026-01-03,3112.87,NEFT
138,1149,2025-10-21,1797.09,NEFT
139,1150,2026-10-15,5911.05,Card
140,1151,2026-08-01,1122.68,NEFT
141,1151,2026-09-05,1315.71,UPI
142,1152,2026-02-09,6419.81,NEFT
143,1153,2026-04-11,28113.43,Card
144,1154,2026-05-27,3700.19,Card
145,1154,2026-05-17,838.99,Cheque
146,1155,2026-06-14,1249.47,NEFT
147,1155,2026-07-10,860.2,UPI
148,1156,2026-09-20,6044.23,NEFT
149,1157,2026-02-15,6144.46,UPI
150,1157,2026-03-13,1162.34,UPI
151,1158,2025-11-10,2362.92,NEFT
152,1159,2025-12-09,1264.47,UPI
153,1160,2026-01-29,1749.97,NEFT
154,1160,2025-12-20,618.75,UPI
155,1161,2026-02-20,4810.29,Cheque
156,1163,2025-12-30,11839.4,Card
157,1165,2026-01-25,5425.05,Card
158,1166,2026-04-23,1237.97,NEFT
159,1167,2026-03-18,8279.31,UPI
160,1168,2026-03-21,24356.04,UPI
161,1171,2025-11-18,4483.28,Card
162,1172,2026-03-18,7218.9,Card
163,1173,2026-06-17,15161.61,UPI
164,1175,2025-12-08,3445.35,Card
165,1176,2026-05-14,4830.28,NEFT
166,1177,2026-01-17,4503.67,NEFT
167,1178,2025-11-25,9424.62,NEFT
168,1179,2026-06-07,6167.39,NEFT
169,1180,2026-09-24,1635.09,Cheque
170,1181,2026-03-19,2956.52,Card
171,1182,2025-11-26,3025.39,NEFT
172,1183,2026-09-16,850.02,Cheque
173,1184,2026-03-21,10518.62,Cheque
174,1185,2026-09-29,5558.78,Card
175,1187,2026-06-19,4473.67,UPI
176,1187,2026-06-05,5819.97,Card
177,1188,2026-06-08,6363.01,Card
178,1189,2026-06-30,1519.69,Card
179,1189,2026-08-03,267.31,UPI
180,1190,2026-05-10,7480.29,NEFT
181,1191,2025-11-26,14996.37,UPI
182,1192,2026-08-09,4470.59,Card
183,1194,2026-03-02,4796.28,UPI
184,1194,2026-03-10,653.89,UPI
185,1195,2025-10-21,1313.35,Card
186,1196,2026-07-18,5598.92,Cheque
187,1198,2026-01-07,4973.97,Card
188,1199,2025-11-24,5709.61,Cheque
189,1200,2026-02-09,7645.14,Card
190,1201,2026-01-05,3926.07,Card
191,1202,2026-03-25,2380.44,UPI
192,1203,2025-12-01,5809.7,NEFT
193,1204,2026-04-09,6536.84,Cheque
194,1204,2026-04-04,4206.77,Card
195,1205,2025-12-10,1268.76,NEFT
196,1206,2026-01-26,20196.73,UPI
197,1207,2026-11-01,2296.77,Card
