po_id,line_id,product_id,quantity,unit_cost
1,1,P1084,11,166.13
1,2,P1124,182,455.07
1,3,P1130,163,172.57
2,4,P1054,84,154.2
2,5,P1139,132,278.97
3,6,P1000,169,136.85
3,7,P1067,49,344.06
3,8,P1067,52,344.06
4,9,P1098,166,282.91
4,10,P1051,111,160.92
5,11,P1138,23,197.5
6,12,P1165,199,180.53
7,13,P1022,98,132.6
7,14,P1033,115,195.81
8,15,P1006,61,241.77
8,16,P1133,122,447.19
8,17,P1106,142,408.61
9,18,P1198,52,231.14
9,19,P1054,113,154.2
10,20,P1171,154,106.96
10,21,P1075,179,292.75
11,22,P1024,84,62.99
11,23,P1165,83,180.53
11,24,P1164,117,429.12
12,25,P1142,195,172.04
12,26,P1184,155,285.56
13,27,P1149,35,282.64
13,28,P1112,157,444.58
13,29,P1149,144,282.64
14,30,P1133,130,447.19
14,31,P1140,58,315.91
14,32,P1178,127,276.28
15,33,P1185,196,111.5
16,34,P1179,56,175.99
16,35,P1057,147,373.34
17,36,P1095,115,203.91
18,37,P1078,126,489.23
18,38,P1001,125,58.77
19,39,P1191,105,89.49
19,40,P1152,173,320.46
19,41,P1183,55,76.5
20,42,P1079,128,165.08
20,43,P1048,68,345.05
20,44,P1033,144,195.81
21,45,P1150,90,424.36
21,46,P1058,172,443.58
21,47,P1037,34,142.11
22,48,P1032,10,349.97
22,49,P1001,71,58.77
23,50,P1098,179,282.91
23,51,P1094,14,113.95
23,52,P1051,47,160.92
24,53,P1182,31,316.7
24,54,P1082,72,35.88
24,55,P1027,130,276.32
25,56,P1147,180,175.87
25,57,P1093,170,356.24
26,58,P1007,84,182.23
26,59,P1044,193,345.07
26,60,P1042,169,372.99
27,61,P1119,171,429.68
28,62,P1135,148,342.78
28,63,P1068,102,142.48
29,64,P1096,53,285.94
29,65,P1173,106,94.27
30,66,P1050,17,98.34
30,67,P1045,150,447.5
30,68,P1036,172,69.34
31,69,P1002,26,227.87
32,70,P1127,177,357.19
33,71,P1071,30,395.38
33,72,P1145,161,82.47
33,73,P1093,179,356.24
34,74,P1188,103,205.8
34,75,P1025,66,292.72
35,76,P1022,101,132.6
36,77,P1055,101,415.33
36,78,P1126,38,33.54
36,79,P1042,53,372.99
37,80,P1098,117,282.91
37,81,P1156,70,89.69
38,82,P1169,29,167.84
38,83,P1123,63,239.15
39,84,P1170,165,207.47
40,85,P1030,128,444.63
41,86,P1147,129,175.87
41,87,P1151,151,87.35
42,88,P1187,181,43.99
42,89,P1183,154,76.5
43,90,P1193,161,282.24
43,91,P1067,18,344.06
44,92,P1072,34,69.66
45,93,P1026,50,30.31
45,94,P1126,146,33.54
46,95,P1085,147,139.55
47,96,P1069,113,436.57
47,97,P1163,60,478.66
48,98,P1013,37,360.62
48,99,P1089,79,116.42
48,100,P1100,83,144.66
49,101,P1039,132,183.94
49,102,P1120,167,402.41
49,103,P1182,133,316.7
50,104,P1074,73,111.17
50,105,P1018,57,389.28
50,106,P1113,185,45.1
51,107,P1000,112,136.85
51,108,P1160,107,218.14
52,109,P1158,131,37.36
53,110,P1135,167,342.78
53,111,P1152,77,320.46
53,112,P1137,95,466.13
54,113,P1123,65,239.15
55,114,P1106,95,408.61
56,115,P1054,191,154.2
57,116,P1057,191,373.34
57,117,P1003,14,137.45
58,118,P1048,101,345.05
58,119,P1013,183,360.62
58,120,P1168,66,267.34
59,121,P1009,191,183.9
59,122,P1098,46,282.91
59,123,P1023,61,271.43
60,124,P1144,142,150.01
61,125,P1053,34,348.12
61,126,P1163,77,478.66
61,127,P1188,180,205.8
62,128,P1068,97,142.48
63,129,P1112,134,444.58
63,130,P1120,169,402.41
64,131,P1016,102,60.67
64,132,P1160,196,218.14
64,133,P1136,59,150.39
65,134,P1059,84,224.34
66,135,P1120,142,402.41
67,136,P1182,181,316.7
67,137,P1158,15,37.36
67,138,P1166,85,267.96
68,139,P1015,135,346.46
68,140,P1068,46,142.48
69,141,P1005,127,308.82
70,142,P1165,84,180.53
70,143,P1022,158,132.6
70,144,P1039,147,183.94
71,145,P1031,177,283.46
71,146,P1033,147,195.81
72,147,P1071,107,395.38
72,148,P1009,129,183.9
73,149,P1168,66,267.34
73,150,P1021,175,364.39
73,151,P1085,18,139.55
74,152,P1063,80,124.62
74,153,P1070,89,266.27
75,154,P1107,111,417.58
76,155,P1080,152,362.77
76,156,P1024,145,62.99
77,157,P1044,67,345.07
77,158,P1026,24,30.31
78,159,P1143,81,261.16
78,160,P1117,62,48.33
78,161,P1157,184,162.53
79,162,P1040,82,257.88
79,163,P1191,157,89.49
79,164,P1100,32,144.66
80,165,P1115,172,28.83
80,166,P1187,170,43.99
80,167,P1183,127,76.5
81,168,P1014,137,452.45
81,169,P1188,167,205.8
81,170,P1167,73,296.43
82,171,P1132,25,295.43
82,172,P1056,17,334.84
82,173,P1110,192,206.28
83,174,P1116,196,52.28
84,175,P1067,95,344.06
84,176,P1116,92,52.28
84,177,P1189,186,385.52
85,178,P1090,95,243.92
85,179,P1099,60,255.82
86,180,P1050,125,98.34
87,181,P1009,54,183.9
88,182,P1133,138,447.19
88,183,P1128,83,418.75
88,184,P1087,75,140.16
89,185,P1067,104,344.06
89,186,P1063,135,124.62
89,187,P1070,110,266.27
90,188,P1153,44,188.52
90,189,P1114,48,75.45
91,190,P1031,38,283.46
92,191,P1129,115,127.8
93,192,P1074,97,111.17
93,193,P1178,152,276.28
94,194,P1199,89,289.09
