product_id,product_name,category,unit_cost,unit_price
P1000,Product_0,Furniture,136.85,190.64
P1001,Product_1,Chemicals,58.77,92.1
P1002,Product_2,Packaging,227.87,353.34
P1003,Product_3,Textiles,137.45,232.07
P1004,Product_4,Hardware,481.29,593.74
P1005,Product_5,Electronics,308.82,459.59
P1006,Product_6,Packaging,241.77,413.27
P1007,Product_7,Chemicals,182.23,327.32
P1008,Product_8,Packaging,241.17,308.0
P1009,Product_9,Electronics,183.9,291.95
P1010,Product_10,Electronics,431.29,517.89
P1011,Product_11,Packaging,142.8,201.31
P1012,Product_12,Chemicals,154.38,226.45
P1013,Product_13,Packaging,360.62,507.58
P1014,Product_14,Hardware,452.45,712.48
P1015,Product_15,Packaging,346.46,418.95
P1016,Product_16,Textiles,60.67,105.87
P1017,Product_17,Textiles,451.51,628.1
P1018,Product_18,Chemicals,389.28,502.26
P1019,Product_19,Textiles,135.07,197.19
P1020,Product_20,Textiles,50.05,75.5
P1021,Product_21,Furniture,364.39,448.64
P1022,Product_22,Packaging,132.6,222.69
P1023,Product_23,Packaging,271.43,445.81
P1024,Product_24,Electronics,62.99,94.93
P1025,Product_25,Furniture,292.72,383.93
P1026,Product_26,Textiles,30.31,53.22
P1027,Product_27,Textiles,276.32,463.25
P1028,Product_28,Furniture,420.17,563.12
P1029,Product_29,Furniture,298.76,490.44
P1030,Product_30,Electronics,444.63,560.6
P1031,Product_31,Electronics,283.46,360.3
P1032,Product_32,Chemicals,349.97,513.32
P1033,Product_33,Electronics,195.81,317.41
P1034,Product_34,Electronics,162.46,284.37
P1035,Product_35,Textiles,181.19,322.99
P1036,Product_36,Hardware,69.34,111.99
P1037,Product_37,Chemicals,142.11,237.31
P1038,Product_38,Chemicals,205.78,309.96
P1039,Product_39,Furniture,183.94,226.9
P1040,Product_40,Packaging,257.88,328.84
P1041,Product_41,Chemicals,254.37,453.41
P1042,Product_42,Electronics,372.99,535.54
P1043,Product_43,Chemicals,209.96,349.19
P1044,Product_44,Chemicals,345.07,459.73
P1045,Product_45,Packaging,447.5,680.09
P1046,Product_46,Packaging,238.77,308.4
P1047,Product_47,Chemicals,285.65,481.39
P1048,Product_48,Textiles,345.05,448.85
P1049,Product_49,Electronics,257.17,417.53
P1050,Product_50,Electronics,98.34,126.91
P1051,Product_51,Electronics,160.92,272.15
P1052,Product_52,Packaging,33.53,50.35
P1053,Product_53,Electronics,348.12,503.89
P1054,Product_54,Textiles,154.2,216.2
P1055,Product_55,Electronics,415.33,669.78
P1056,Product_56,Packaging,334.84,419.5
P1057,Product_57,Textiles,373.34,639.8
P1058,Product_58,Chemicals,443.58,734.9
P1059,Product_59,Hardware,224.34,319.41
P1060,Product_60,Textiles,110.53,197.47
P1061,Product_61,Packaging,469.05,797.03
P1062,Product_62,Furniture,498.0,678.52
P1063,Product_63,Textiles,124.62,215.92
P1064,Product_64,Textiles,375.68,473.12
P1065,Product_65,Packaging,54.69,88.26
P1066,Product_66,Hardware,33.19,42.44
P1067,Product_67,Chemicals,344.06,614.34
P1068,Product_68,Packaging,142.48,175.22
P1069,Product_69,Chemicals,436.57,584.85
P1070,Product_70,Chemicals,266.27,404.22
P1071,Product_71,Furniture,395.38,612.99
P1072,Product_72,Electronics,69.66,105.03
P1073,Product_73,Textiles,439.74,722.96
P1074,Product_74,Hardware,111.17,133.51
P1075,Product_75,Chemicals,292.75,450.33
P1076,Product_76,Furniture,312.65,490.54
P1077,Product_77,Chemicals,51.66,68.47
P1078,Product_78,Textiles,489.23,780.56
P1079,Product_79,Electronics,165.08,262.87
P1080,Product_80,Electronics,362.77,550.72
P1081,Product_81,Hardware,323.19,438.11
P1082,Product_82,Electronics,35.88,52.02
P1083,Product_83,Hardware,433.93,591.65
P1084,Product_84,Hardware,166.13,276.08
P1085,Product_85,Furniture,139.55,219.26
P1086,Product_86,Furniture,48.1,62.08
