supplier_payment_id,po_id,payment_date,amount_paid
1,1,2025-11-01,112779.08
2,2,2026-02-20,49776.84
3,3,2026-01-19,57877.71
4,4,2026-03-15,64825.18
5,5,2025-10-18,4480.88
6,5,2025-09-26,61.62
7,6,2026-01-13,28661.98
8,6,2025-12-26,7263.49
9,7,2025-12-20,35512.95
10,8,2025-12-04,113675.46
11,8,2025-11-13,13652.31
12,9,2026-03-16,29443.88
13,10,2026-02-19,68874.09
14,11,2026-06-26,70482.19
15,12,2026-03-01,77809.6
16,13,2026-01-22,120391.62
17,14,2026-08-10,111545.04
18,15,2025-12-16,21854.0
19,16,2026-10-07,53004.56
20,16,2026-09-29,11731.86
21,17,2025-10-18,23449.65
22,18,2025-11-28,68989.23
23,19,2026-08-05,69043.53
24,20,2025-11-27,72790.28
25,21,2026-04-11,119319.9
26,22,2026-09-30,7672.37
27,23,2026-05-11,59799.43
28,24,2026-08-25,48322.66
29,25,2025-12-16,92217.4
30,26,2026-01-23,144941.14
31,27,2026-06-08,73475.28
32,28,2026-07-02,65264.4
33,29,2026-08-15,25147.44
34,30,2025-12-11,80723.26
35,31,2026-04-06,5924.62
36,32,2025-11-29,63222.63
37,33,2026-02-15,88906.03
38,34,2025-12-27,40516.92
39,35,2026-01-30,13392.6
40,36,2026-03-04,62991.32
41,37,2026-02-11,39378.77
42,38,2026-04-07,19933.81
43,39,2026-05-26,34232.55
44,40,2025-11-14,52489.2
45,40,2025-11-17,4423.44
46,41,2026-08-07,22173.83
47,41,2026-08-25,13703.25
48,42,2026-09-02,19743.19
49,43,2026-06-26,51633.72
50,44,2026-01-24,2368.44
51,45,2026-07-11,6412.34
52,46,2026-05-23,20513.85
53,47,2026-06-11,78052.01
54,48,2025-11-19,34546.9
55,49,2026-02-02,133603.65
56,50,2026-03-25,38647.87
57,51,2026-03-27,38668.18
58,52,2026-06-02,4894.16
59,53,2026-05-22,126202.03
60,54,2026-06-03,15544.75
61,56,2026-02-16,16612.46
62,56,2026-02-05,12839.74
63,57,2026-06-20,73232.24
64,58,2026-02-17,118487.95
65,59,2026-01-31,50494.33
66,59,2026-01-24,14201.66
67,60,2026-01-04,21301.42
68,61,2026-02-11,85736.9
69,62,2026-07-11,13820.56
70,63,2025-12-31,127581.01
71,64,2026-04-19,57816.79
72,65,2026-05-02,11446.17
73,65,2026-04-09,7398.39
74,66,2026-09-12,32928.37
75,66,2026-08-25,24213.85
76,68,2026-06-04,53326.18
77,71,2026-06-04,78956.49
78,72,2026-03-02,47739.87
79,72,2026-02-06,18288.89
80,73,2025-11-07,83924.59
81,74,2025-12-06,33667.63
82,75,2026-05-26,46351.38
83,76,2026-05-11,64274.59
84,77,2026-02-04,23847.13
85,78,2025-10-22,54055.94
86,79,2026-02-13,39825.21
87,81,2026-09-23,117993.64
88,82,2026-09-20,52683.79
89,83,2026-07-06,10246.88
90,84,2026-03-05,109202.18
91,85,2025-12-15,38521.6
92,86,2025-12-06,12292.5
93,87,2026-04-23,9930.6
94,88,2026-02-27,106980.47
95,89,2025-12-29,81895.64
96,90,2026-04-10,11916.48
97,91,2026-03-19,10771.48
98,92,2026-02-16,9731.26
99,92,2026-01-31,4965.74
100,93,2026-03-12,52778.05
101,94,2026-03-14,25729.01
102,95,2026-01-07,51934.69
103,96,2025-11-15,82379.12
104,96,2025-10-24,5137.27
105,97,2026-06-03,22827.66
106,98,2025-12-10,78874.17
107,99,2025-12-30,38766.79
108,100,2025-12-27,66220.21
109,101,2026-04-19,16144.62
110,102,2026-03-29,2537.04
111,103,2026-06-08,74260.3
112,104,2026-05-16,56541.01
113,105,2026-04-19,109358.47
114,106,2026-03-08,73276.89
115,107,2026-02-19,23481.53
116,108,2026-07-07,110639.87
117,109,2026-06-08,59071.7
118,110,2026-01-28,17182.04
119,111,2026-01-03,15396.2
120,112,2026-03-20,17645.17
121,113,2026-01-16,58023.54
122,114,2026-01-20,28743.19
123,115,2026-06-28,35283.51
124,116,2026-01-07,29560.98
125,117,2025-10-21,23313.48
126,118,2025-11-19,64086.1
127,119,2026-10-06,74475.69
128,120,2026-02-18,33821.05
129,122,2026-09-22,51126.85
130,123,2026-09-27,79070.17
