supplier_id,supplier_name,pay_terms
1,Rahul Vendors,30
2,Meera Sourcing,30
3,Karan Vendors,60
4,Neha Suppliers,30
5,Priya Materials,30
6,Divya Sourcing,45
7,Rahul Sourcing,30
8,Sanjay Materials,30
9,Kunal Materials,45
10,Rohan Vendors,30
11,Vikram Materials,45
12,Kavita Sourcing,30
13,Divya Vendors,30
14,Manish Vendors,45
15,Manish Suppliers,30
16,Sneha Vendors,45
17,Rahul Sourcing,60
18,Neha Materials,30
19,Swati Vendors,30
20,Neha Vendors,60
21,Amit Suppliers,30
22,Rohan Materials,30
23,Kunal Sourcing,45
24,Divya Vendors,30
25,Arjun Suppliers,45
26,Swati Sourcing,45
27,Amit Vendors,30
28,Divya Materials,30
29,Pooja Materials,30
30,Priya Suppliers,45
31,Sneha Sourcing,30
32,Manish Materials,30
33,Kunal Suppliers,30
34,Ritu Suppliers,30
35,Deepak Suppliers,30
36,Manish Vendors,60
37,Neha Vendors,30
38,Kavita Sourcing,45
39,Vikram Suppliers,45
40,Amit Sourcing,60
41,Neha Materials,30
42,Pooja Vendors,30
43,Kunal Materials,45
44,Sanjay Sourcing,45
45,Divya Materials,45
46,Divya Sourcing,30
47,Meera Suppliers,45
48,Anita Suppliers,45
49,Divya Materials,30
50,Divya Materials,30
51,Sneha Materials,45
52,Swati Materials,30
53,Deepak Suppliers,30
54,Sneha Suppliers,45
55,Arjun Materials,30
56,Priya Sourcing,45
57,Kavita Sourcing,45
58,Neha Suppliers,30
59,Sneha Sourcing,30
60,Anita Materials,30
61,Ritu Suppliers,30
62,Sanjay Sourcing,30
63,Swati Sourcing,45
64,Rahul Materials,30
65,Kunal Sourcing,30
66,Pooja Materials,30
67,Rahul Sourcing,45
68,Swati Sourcing,60
69,Arjun Vendors,45
70,Sneha Materials,30
71,Kunal Materials,30
72,Manish Sourcing,60
73,Rahul Materials,30
74,Deepak Materials,45
75,Rohan Suppliers,45
76,Divya Sourcing,45
77,Deepak Sourcing,30
78,Rohan Vendors,45
79,Amit Materials,45
80,Sneha Vendors,45
